Risk & Identity — Quarterly Performance
prepared_by=r.oyelaran; basis=verified-only; generated=2026-08-30; disclosure=small-counts-suppressed-as-zero
,,,,,,(major units per Ccy),(major units per Ccy),(major units per Ccy),(major units per Ccy),count,count,count,
Merchant Code,Merchant (legal),Agreement No.,Tier,KYC,Quarter,Ccy,Active accts (verified only),Gross (net of refunds & fees),Platform fees,Refund value,Net revenue,Settled txns,Refunds,Chargebacks,Tax ID
RI00002,Meridian Retail Ltd,CTR-00002-1,Tier 2,verified,FY25Q2,GBP,3,8977.357,129.130,250.775,8935.530,75,3,0,TX759223641
RI00002,Meridian Retail Ltd,CTR-00002-1,Tier 2,verified,FY25Q3,GBP,3,10346.347,205.499,263.904,10332.719,138,3,0,TX759223641
RI00002,Meridian Retail Ltd,CTR-00002-1,Tier 2,verified,FY25Q4,GBP,2,10020.203,233.178,492.145,9984.205,114,5,0,TX759223641
RI00002,Meridian Retail Ltd,CTR-00002-1,Tier 2,verified,FY26Q1,GBP,1,4129.495,66.949,67.802,4110.050,34,1,0,TX759223641
RI00002,Meridian Retail Ltd,CTR-00002-1,Tier 2,verified,FY26Q2,GBP,3,13997.736,350.658,701.316,13955.747,156,2,0,TX759223641
RI00002,Meridian Retail Ltd,CTR-00002-1,Tier 2,verified,FY26Q3,GBP,4,10104.568,245.877,386.531,10087.067,96,3,0,TX759223641
RI00003,Kestrel Retail Inc.,CTR-00003-1,Tier 2,verified,FY25Q2,USD,31,199944.654,2536.642,2086.592,198925.906,1442,63,8,TX243954652
RI00003,Kestrel Retail Inc.,CTR-00003-1,Tier 2,verified,FY25Q3,USD,37,212562.036,3091.648,8378.816,212367.128,1875,30,9,TX243954652
RI00003,Kestrel Retail Inc.,CTR-00003-1,Tier 2,verified,FY25Q4,USD,31,114626.528,2151.877,3438.195,114386.095,1175,26,2,TX243954652
RI00003,Kestrel Retail Inc.,CTR-00003-1,Tier 2,verified,FY26Q1,USD,43,226774.669,6920.410,4939.741,225598.199,2055,101,8,TX243954652
RI00003,Kestrel Retail Inc.,CTR-00003-1,Tier 2,verified,FY26Q2,USD,TBC,58895.600,1416.585,1011.847,58581.621,671,23,3,TX243954652
RI00003,Kestrel Retail Inc.,CTR-00003-1,Tier 2,verified,FY26Q3,USD,49,202766.090,5046.759,10661.551,202475.519,1720,32,1,TX243954652
RI00005,Meridian Holdings K.K.,CTR-00005-1,Tier 3,verified,FY25Q2,JPY,36,18710725.607,527311.177,364609.216,18652309.722,1585,32,11,TX889251525
RI00005,Meridian Holdings K.K.,CTR-00005-1,Tier 3,verified,FY25Q3,JPY,30,10924776.843,177486.755,574496.602,10914734.829,963,19,7,TX889251525
RI00005,Meridian Holdings K.K.,CTR-00005-1,Tier 3,verified,FY25Q4,JPY,25,22722205.050,594784.299,763346.651,22688974.186,1340,31,9,TX889251525
RI00005,Meridian Holdings K.K.,CTR-00005-1,Tier 3,verified,FY26Q1,JPY,TBC,7054509.869,182522.894,368087.837,7012757.757,407,16,2,TX889251525
RI00005,Meridian Holdings K.K.,CTR-00005-1,Tier 3,verified,FY26Q2,JPY,29,12281576.468,346312.277,539878.455,12274334.196,1234,15,9,TX889251525
RI00005,Meridian Holdings K.K.,CTR-00005-1,Tier 3,verified,FY26Q3,JPY,29,4887185.058,84270.564,105084.378,4884443.726,425,18,1,TX889251525
RI00008,Pelagic Logistics W.L.L.,CTR-00008-1,Tier 2,verified,FY25Q2,BHD,61,29465.515,726.513,723.422,29312.174,725,12,2,TX831558700
RI00008,Pelagic Logistics W.L.L.,CTR-00008-1,Tier 2,verified,FY25Q3,BHD,TBC,139916.891,3154.109,6412.858,139673.232,3095,93,18,TX831558700
RI00008,Pelagic Logistics W.L.L.,CTR-00008-1,Tier 2,verified,FY25Q4,BHD,67,62571.387,1264.136,3049.979,62368.724,1315,34,1,TX831558700
RI00008,Pelagic Logistics W.L.L.,CTR-00008-1,Tier 2,verified,FY26Q1,BHD,82,44531.426,1091.503,2250.029,44368.658,1103,14,1,TX831558700
RI00008,Pelagic Logistics W.L.L.,CTR-00008-1,Tier 2,verified,FY26Q2,BHD,n/a,277318.084,8397.239,13118.819,276448.477,4937,238,32,TX831558700
RI00008,Pelagic Logistics W.L.L.,CTR-00008-1,Tier 2,verified,FY26Q3,BHD,83,100038.114,1964.253,4750.503,99557.726,2940,143,22,TX831558700
RI00008,Pelagic Logistics W.L.L.,CTR-00008-2,Tier 1,verified,FY25Q2,USD,13,32236.308,649.815,1495.605,32207.084,372,15,1,TX831558700
RI00008,Pelagic Logistics W.L.L.,CTR-00008-2,Tier 1,verified,FY25Q3,USD,10,48450.576,1428.865,2459.951,48215.049,504,19,0,TX831558700
RI00008,Pelagic Logistics W.L.L.,CTR-00008-2,Tier 1,verified,FY25Q4,USD,-,17204.012,343.011,894.409,17119.550,191,2,0,TX831558700
RI00008,Pelagic Logistics W.L.L.,CTR-00008-2,Tier 1,verified,FY26Q1,USD,8,61336.495,1704.330,1517.111,61215.772,453,8,1,TX831558700
RI00008,Pelagic Logistics W.L.L.,CTR-00008-2,Tier 1,verified,FY26Q2,USD,11,26640.597,501.589,1036.994,26614.109,267,2,0,TX831558700
RI00008,Pelagic Logistics W.L.L.,CTR-00008-2,Tier 1,verified,FY26Q3,USD,2,16773.527,411.229,540.624,16689.154,145,4,0,TX831558700
RI00009,Meridian Logistics Ltd,CTR-00009-1,Bespoke,verified,FY25Q2,GBP,9,42112.604,1088.625,872.663,41931.460,359,6,0,TX127933681
RI00009,Meridian Logistics Ltd,CTR-00009-1,Bespoke,verified,FY25Q3,GBP,9,18923.725,262.218,830.690,18871.482,182,3,0,TX127933681
RI00009,Meridian Logistics Ltd,CTR-00009-1,Bespoke,verified,FY25Q4,GBP,7,31869.081,604.443,1483.941,31791.658,285,14,0,TX127933681
RI00009,Meridian Logistics Ltd,CTR-00009-1,Bespoke,verified,FY26Q1,GBP,9,29153.797,440.363,362.475,29060.632,255,4,0,TX127933681
RI00009,Meridian Logistics Ltd,CTR-00009-1,Bespoke,verified,FY26Q2,GBP,9,27948.674,656.196,820.981,27835.973,234,10,1,TX127933681
RI00009,Meridian Logistics Ltd,CTR-00009-1,Bespoke,verified,FY26Q3,GBP,8,16841.695,432.921,323.811,16824.625,161,1,0,TX127933681
RI00010,Harbour Commerce Ltd,CTR-00010-1,Bespoke,verified,FY25Q2,GBP,12,67314.639,1297.479,1521.908,67217.153,603,19,2,TX728480624
RI00010,Harbour Commerce Ltd,CTR-00010-1,Bespoke,verified,FY25Q3,GBP,11,46626.441,615.830,496.483,46484.657,621,14,0,TX728480624
RI00010,Harbour Commerce Ltd,CTR-00010-1,Bespoke,verified,FY25Q4,GBP,9,11903.153,266.734,471.525,11840.831,155,6,1,TX728480624
RI00010,Harbour Commerce Ltd,CTR-00010-1,Bespoke,verified,FY26Q1,GBP,10,33393.273,501.844,477.783,33341.026,395,6,2,TX728480624
RI00010,Harbour Commerce Ltd,CTR-00010-1,Bespoke,verified,FY26Q2,GBP,7,49384.510,607.996,673.863,49242.138,509,20,4,TX728480624
RI00010,Harbour Commerce Ltd,CTR-00010-1,Bespoke,verified,FY26Q3,GBP,12,42884.956,584.609,1848.997,42768.940,375,13,1,TX728480624
RI00011,Basalt Group K.K.,CTR-00011-1,Tier 1,verified,FY25Q2,JPY,9,6443988.311,175863.332,223079.557,6411073.812,488,19,2,TX535085833
RI00011,Basalt Group K.K.,CTR-00011-1,Tier 1,verified,FY25Q3,JPY,10,5216909.617,107735.148,172046.435,5194208.282,507,6,0,TX535085833
RI00011,Basalt Group K.K.,CTR-00011-1,Tier 1,verified,FY25Q4,JPY,14,8962471.912,179782.126,370027.762,8944969.313,651,28,5,TX535085833
RI00011,Basalt Group K.K.,CTR-00011-1,Tier 1,verified,FY26Q1,JPY,14,6897105.544,149921.408,160733.048,6864598.546,610,6,3,TX535085833
RI00011,Basalt Group K.K.,CTR-00011-1,Tier 1,verified,FY26Q2,JPY,16,7906678.694,157866.287,288168.619,7890975.592,622,21,1,TX535085833
RI00011,Basalt Group K.K.,CTR-00011-1,Tier 1,verified,FY26Q3,JPY,13,8899865.453,240898.614,418704.733,8845950.049,756,37,3,TX535085833
RI00013,Alder Systems Inc.,CTR-00013-1,Tier 3,verified,FY25Q2,USD,5,21440.126,362.394,847.096,21402.528,158,6,0,TX598551718
RI00013,Alder Systems Inc.,CTR-00013-1,Tier 3,verified,FY25Q3,USD,6,36007.863,486.644,1524.565,35906.732,272,11,2,TX598551718
RI00013,Alder Systems Inc.,CTR-00013-1,Tier 3,verified,FY25Q4,USD,6,29481.430,831.214,1053.916,29339.339,202,7,0,TX598551718
RI00013,Alder Systems Inc.,CTR-00013-1,Tier 3,verified,FY26Q1,USD,3,22231.535,354.049,404.628,22198.199,147,5,1,TX598551718
RI00013,Alder Systems Inc.,CTR-00013-1,Tier 3,verified,FY26Q2,USD,5,15905.706,426.001,374.213,15857.092,160,5,0,TX598551718
RI00013,Alder Systems Inc.,CTR-00013-1,Tier 3,verified,FY26Q3,USD,8,15219.105,199.526,802.969,15149.514,150,7,0,TX598551718
RI00015,Quarry Commerce Ltd,CTR-00015-1,Tier 1,verified,FY25Q2,GBP,16,65024.240,1897.554,2585.678,64691.994,736,31,2,TX960171520
RI00015,Quarry Commerce Ltd,CTR-00015-1,Tier 1,verified,FY25Q3,GBP,-,35042.678,715.678,755.844,34962.347,400,14,1,TX960171520
RI00015,Quarry Commerce Ltd,CTR-00015-1,Tier 1,verified,FY25Q4,GBP,14,25444.654,351.622,841.762,25404.697,252,8,TBC,TX960171520
RI00015,Quarry Commerce Ltd,CTR-00015-1,Tier 1,verified,FY26Q1,GBP,17,68401.720,1554.585,1029.291,68038.274,779,11,2,TX960171520
